Voltaj,Sicaklik,Doluluk
3.7302932713884527,17.865783765392532,54.300000000000004
3.0476005569930646,11.948979316482244,7.5
3.7439490423149735,12.764539131362909,55.2
3.323690494083028,9.270948324127763,8.8
3.807760099570622,30.725296520259647,70.2
3.1595525259056565,11.365902118116722,8.0
2.9471270130687177,34.342659854914366,7.1000000000000005
2.8074965691145906,9.506563430706656,6.4
2.9451736782915074,2.4811568261312926,7.0
2.7324189107765764,21.007108605698697,6.2
3.307861935438975,9.66281295697029,8.700000000000001
3.0950003264775017,22.83317417191467,7.7
3.6857514854565294,7.917880203337804,39.800000000000004
3.586521869103062,29.760058228157266,29.900000000000002
3.686514486541361,41.734854688522745,34.0
3.4381282577453964,13.791903586910545,9.3
2.8967872160512025,20.50081963482307,6.800000000000001
4.138404467314349,34.137693408654506,96.60000000000001
3.6945384153960648,10.484247984425213,45.400000000000006
2.7322908065704636,1.029097614454511,6.2
2.6738568940697442,44.979817305285025,6.1000000000000005
2.9416472486845895,27.060757387792144,7.0
3.122908513534682,21.70840464485326,7.9
3.243188157446978,26.535339387036714,8.4
3.9927851568587043,5.945304727554378,73.3
3.8630425672982542,16.503689896114693,72.7
4.0700664251105945,41.13587341918982,78.10000000000001
4.098857006211415,12.804688806624178,92.4
2.719136914643057,30.950144484475146,6.2
2.660141949415676,40.42990448728003,6.0
3.2916498697604664,32.82664685257384,8.6
3.6254728041680835,19.964922818745514,33.4
2.9100006329461463,23.060480160098447,6.9
3.151192839194234,20.692197886726237,8.0
3.519271009789274,42.401885403974966,25.400000000000002
2.830424203275912,31.17957677970416,6.5
3.2678281240212406,38.94889607035609,8.5
2.7934793694794635,29.824108262974626,6.4
3.220609370268592,36.84131862026394,8.3
2.7611746882587984,25.872550598974897,6.300000000000001
3.131097183667994,29.89314029125659,7.9
3.511083653947456,25.897966406151316,26.1
2.8980853856022017,43.836624222074136,6.800000000000001
4.193427097130225,31.576062281939645,97.0
3.411562022881524,34.29372030612107,9.200000000000001
3.7380827099543517,11.87545236227772,52.800000000000004
3.5483794871752656,19.939051256170536,29.5
3.2271069659435794,36.45274708845853,8.3
3.81285789403732,31.573631140147985,70.4
2.8681968370769773,12.126423300860502,6.7
3.9300630462948654,12.989579117666123,78.4
3.9936798799533935,15.792655092856714,86.9
3.1902245697419893,28.5735122280554,8.200000000000001
3.8269051053378744,35.041793313099284,70.8
3.7116064290198163,25.56988831980952,51.300000000000004
3.8033188303288985,22.03596313045783,70.10000000000001
3.5361153147068256,15.805503276649345,29.200000000000003
3.307043284125271,21.9162480173252,8.700000000000001
2.9970298817861574,32.46242509167629,7.300000000000001
3.3854369739268804,29.122147545998143,9.0
3.2014562240959714,27.17908698616413,8.200000000000001
3.833900435770667,18.526587074205246,71.10000000000001
2.751462922403798,31.357841381181863,6.300000000000001
3.501101478615552,43.21642266493994,11.4
2.78732182141293,8.062198615230725,6.4
4.050828985489112,7.081456365929488,76.2
2.5738775880171034,17.298092008472384,5.9
4.030844269634002,13.114219230936936,85.0
3.3667927393262262,17.790881200863538,9.0
3.941384808294522,17.468259924431003,82.5
2.889261683246419,7.59347088238757,6.800000000000001
3.3663847895095267,29.874482584760646,9.0
2.6217606292047297,43.99076876525476,6.0
2.6290119546053146,22.973038508565054,6.0
3.757497139449555,30.201864337014406,62.6
3.1597811063228676,11.482570527634627,8.0
3.4044465154090533,22.323682691012852,9.1
2.5202886691465807,36.899089157319494,5.9
3.1212093623345147,44.80850517740654,7.800000000000001
3.5085243941817437,14.593540367293254,24.700000000000003
3.758397600783666,36.5226185674927,60.2
3.382749464189941,27.760109601497724,9.0
2.8398532994958474,2.094511861734502,6.6000000000000005
2.9800927027151483,31.656591343390776,7.2
4.1587286507342345,9.828398966845983,88.80000000000001
2.6732994330957798,1.9736388434610026,6.1000000000000005
4.082301332480692,32.932485344829495,90.4
3.0044796600821453,32.971464335793904,7.300000000000001
3.556373430976347,10.19128990428325,27.200000000000003
3.5582361351684164,29.230601591976544,29.700000000000003
2.975199497582118,5.497453710079942,7.2
2.988213507002178,34.47755599992832,7.2
3.836111528382955,7.850847388720881,62.800000000000004
3.590894819811348,41.96670472770534,18.900000000000002
2.929356721988247,39.53144281433781,7.0
3.528382220294505,28.32655493240654,28.8
3.623136675982027,5.157274048669444,27.3
3.7379325616468684,16.611488457234366,56.1
2.6914334401589004,23.249950667577142,6.1000000000000005
3.2301807187351623,29.53935399362232,8.3
3.5979319495296966,29.747586102425696,30.0
3.0702668592654074,30.54080882965771,7.6000000000000005
2.8931945937079453,14.628611483312707,6.800000000000001
3.9564949091061026,8.298042702501661,73.0
3.4042172854131083,33.43984685281961,9.1
2.6596845352546454,14.908531810111008,6.0
